Exchange Date,Bid,Ask,High,Low,Open,Refresh Rate,BidNet
01-Nov-2019,"13,311.1063","13,327.8895","13,486.1554","13,092.9524","13,329.6447",80395,-18.5384
31-Oct-2019,"13,329.6447","13,339.3733","13,665.3100","12,993.1199","13,299.7248",94013,+27.9935
30-Oct-2019,"13,301.6512","13,310.0116","13,801.6912","13,075.1601","13,755.4763",92410,-455.8288
29-Oct-2019,"13,757.4800","13,762.3834","13,953.8888","13,186.8881","13,818.8423",89319,-65.4035
28-Oct-2019,"13,822.8835","13,840.4650","14,565.3716","13,560.9492","14,173.8653",94999,"+1,267.6666"
25-Oct-2019,"12,555.2169","12,559.0589","12,863.8429","10,832.8789","10,924.9927",80090,"+1,630.2242"
24-Oct-2019,"10,924.9927","10,933.0644","11,008.8537","10,749.6858","10,921.3681",87610,+2.0314
23-Oct-2019,"10,922.9613","10,930.9645","11,847.4183","10,646.8098","11,847.4183",86195,-921.0020
22-Oct-2019,"11,843.9633","11,851.4953","12,126.1960","11,733.5569","11,938.9026",79008,-94.9539
21-Oct-2019,"11,938.9172","11,952.0536","12,158.4207","11,866.6424","11,887.1226",83451,+356.5926
18-Oct-2019,"11,582.3246","11,593.7126","11,886.6667","11,422.1670","11,780.2198",75994,-199.6215
17-Oct-2019,"11,781.9461","11,797.5377","11,909.4199","11,693.9885","11,816.3142",89916,-34.3681
16-Oct-2019,"11,816.3142","11,825.8733","12,146.1893","11,708.1113","12,050.5922",83546,-234.2780
15-Oct-2019,"12,050.5922","12,059.3158","12,437.9229","11,976.0664","12,302.0071",94212,-255.3257
14-Oct-2019,"12,305.9179","12,323.5754","12,445.9340","11,995.5235","12,398.6311",91895,+30.2295
11-Oct-2019,"12,275.6884","12,287.4171","13,013.8135","12,170.2321","12,687.2671",99255,-412.1259
10-Oct-2019,"12,687.8143","12,696.0509","12,846.2305","12,502.7519","12,763.2580",99962,-71.8617
09-Oct-2019,"12,759.6760","12,772.7205","12,919.5129","12,040.7918","12,072.9718",94431,+686.7042
08-Oct-2019,"12,072.9718","12,084.0517","12,366.3799","12,051.9245","12,197.4458",93777,-126.2856
07-Oct-2019,"12,199.2574","12,206.5815","12,325.3151","11,477.5691","11,800.1329",100762,+139.9073
04-Oct-2019,"12,059.3501","12,073.5668","12,300.6821","11,833.6491","12,074.8221",97222,-17.2627
03-Oct-2019,"12,076.6128","12,089.0224","12,541.8542","11,898.0590","12,264.3411",94155,-187.5792
02-Oct-2019,"12,264.1920","12,286.5583","12,548.4641","12,166.0363","12,476.7223",103784,-212.5005
01-Oct-2019,"12,476.6925","12,493.2856","12,722.3415","12,124.8334","12,196.5042",109871,+280.1883
30-Sep-2019,"12,196.5042","12,219.4337","12,401.9715","11,417.3450","11,812.9766",105520,+290.6662
27-Sep-2019,"11,905.8380","11,919.2461","12,037.6629","11,611.1488","11,982.8148",107408,-76.8731
26-Sep-2019,"11,982.7111","12,003.2158","12,803.5238","11,444.0201","12,586.5857",112094,-607.6029
25-Sep-2019,"12,590.3140","12,603.4222","12,934.3915","12,115.1453","12,589.1371",117081,+1.1769
24-Sep-2019,"12,589.1371","12,608.6311","14,475.3985","11,760.0353","14,411.3227",105895,"-1,822.2447"
23-Sep-2019,"14,411.3818","14,421.6595","14,893.6170","14,307.8287","14,725.4062",89351,-554.1721
20-Sep-2019,"14,965.5539","14,985.8008","15,182.2654","14,860.7064","15,101.4427",97576,-133.6660
19-Sep-2019,"15,099.2199","15,103.6808","15,274.0545","14,140.5214","14,921.6137",105162,+177.6062
18-Sep-2019,"14,921.6137","14,939.3145","14,968.4180","14,732.5343","14,919.2022",100255,+2.4115
17-Sep-2019,"14,919.2022","14,943.8520","15,102.9275","14,812.9697","14,878.9834",111871,+42.3855
16-Sep-2019,"14,876.8167","14,883.3333","15,103.6239","14,669.1960","14,974.8400",101316,-47.9834
13-Sep-2019,"14,924.8001","14,934.6227","15,238.6632","14,751.0533","15,038.5904",100812,-111.6006
12-Sep-2019,"15,036.4007","15,047.6260","15,101.3551","14,568.6619","14,711.9918",100261,+324.4089
11-Sep-2019,"14,711.9918","14,725.9875","14,929.5233","14,336.7908","14,635.9610",94263,+77.7939
10-Sep-2019,"14,634.1979","14,658.0260","15,135.1792","14,449.6282","14,913.9589",91055,-279.7610
09-Sep-2019,"14,913.9589","14,925.6377","15,349.4539","14,664.7230","15,099.6058",92361,-204.1486
06-Sep-2019,"15,118.1075","15,137.7008","16,010.1097","14,900.7447","15,424.2482",114349,-306.1407
05-Sep-2019,"15,424.2482","15,449.2881","15,731.9747","15,342.3816","15,634.7455",121532,-210.4826
04-Sep-2019,"15,634.7308","15,651.3832","15,933.4951","15,286.7647","15,839.6212",115632,-204.8904
03-Sep-2019,"15,839.6212","15,856.0604","15,975.3112","15,292.8933","15,492.7359",118060,+346.8853
02-Sep-2019,"15,492.7359","15,515.0305","15,579.1394","14,259.3940","14,295.0015",89814,"+1,211.0499"
30-Aug-2019,"14,281.6860","14,292.9038","14,397.5653","13,897.2949","14,148.0309",113670,+128.0079
29-Aug-2019,"14,153.6781","14,169.4973","14,461.6652","13,834.0508","14,352.1604",114637,-198.4823
28-Aug-2019,"14,352.1604","14,362.7506","15,232.6860","14,172.3524","15,017.6958",112667,-665.5354
27-Aug-2019,"15,017.6958","15,027.2552","15,342.8930","14,795.6592","15,143.7721",113738,-126.0763
26-Aug-2019,"15,143.7721","15,160.8946","15,852.0024","14,697.9083","14,953.0591",146383,-182.5336
23-Aug-2019,"15,326.3057","15,348.8747","15,499.9852","14,863.9456","15,063.6283",113813,+262.6774
22-Aug-2019,"15,063.6283","15,077.9159","15,139.9408","14,395.0568","14,966.0867",101862,+97.5416
21-Aug-2019,"14,966.0867","14,976.9174","15,995.7362","14,494.6308","15,789.2315",96527,-820.8160
20-Aug-2019,"15,786.9027","15,802.8926","16,212.8163","15,561.9216","15,768.3759",94033,+18.5415
19-Aug-2019,"15,768.3612","15,803.6823","16,000.9310","15,131.1229","15,300.9729",95201,+445.0642
16-Aug-2019,"15,323.2970","15,339.2330","15,529.5565","14,335.9246","15,295.7061",120454,+27.7385
15-Aug-2019,"15,295.5585","15,319.5572","15,335.9788","13,951.6210","15,045.6660",135889,+249.8925
14-Aug-2019,"15,045.6660","15,072.7286","16,022.4397","14,865.4411","15,974.0517",132692,-928.3857
13-Aug-2019,"15,974.0517","15,998.3676","16,930.1820","15,792.0147","16,896.2985",119071,-922.2468
12-Aug-2019,"16,896.2985","16,913.4627","17,088.1086","16,581.3805","16,753.9470",112618,-572.6762
09-Aug-2019,"17,468.9747","17,489.6963","17,693.3490","17,023.7654","17,040.7821",122517,+428.1926
08-Aug-2019,"17,040.7821","17,060.6618","17,847.5226","16,812.8303","17,548.9050",121508,-510.7200
07-Aug-2019,"17,551.5021","17,569.7557","18,051.1822","16,550.9088","17,218.2316",130220,+330.7242
06-Aug-2019,"17,220.7779","17,247.5000","18,150.1179","16,986.3014","17,343.0812",126502,-119.7370
05-Aug-2019,"17,340.5149","17,354.0112","17,633.8645","15,834.8971","16,074.2542",127997,"+2,043.3527"
02-Aug-2019,"15,297.1622","15,307.5894","15,684.2422","15,156.3895","15,309.4251",112117,-12.2629
01-Aug-2019,"15,309.4251","15,318.3409","15,429.2726","14,431.1030","14,638.0424",102339,+668.5632
31-Jul-2019,"14,640.8619","14,648.7726","14,724.9817","13,843.9692","13,878.1173",96330,+762.7446
30-Jul-2019,"13,878.1173","13,893.3780","14,195.7824","13,568.4035","13,770.7374",75907,+107.3799
29-Jul-2019,"13,770.7374","13,790.1753","14,061.9902","13,181.4670","13,762.8666",72745,-442.0230
26-Jul-2019,"14,212.7604","14,240.5472","14,322.4378","13,885.4164","14,191.8620",77674,+20.8984
25-Jul-2019,"14,191.8620","14,208.7469","14,589.2458","13,833.7727","13,849.5987",88170,+342.2633
24-Jul-2019,"13,849.5987","13,874.7993","14,481.3821","13,631.7479","14,467.5278",82847,-617.9291
23-Jul-2019,"14,467.5278","14,484.5660","14,758.2433","14,020.4720","14,663.6725",85416,-191.9777
22-Jul-2019,"14,659.5055","14,681.8595","15,171.0007","14,288.9268","14,885.9433",89536,-278.9670
19-Jul-2019,"14,938.4725","14,963.9307","15,266.5016","14,317.7154","15,002.0913",118193,-65.7389
18-Jul-2019,"15,004.2114","15,018.5442","15,210.0891","13,189.7811","13,812.9529",117379,"+1,193.2287"
17-Jul-2019,"13,810.9827","13,828.9057","14,241.9815","12,951.3344","13,687.0811",110147,+123.9016
16-Jul-2019,"13,687.0811","13,692.1563","15,734.0528","13,480.8059","15,362.8409",101769,"-1,673.5779"
15-Jul-2019,"15,360.6590","15,371.5016","15,555.0931","14,026.4731","14,925.4595",102406,"-1,595.4459"
12-Jul-2019,"16,956.1049","16,985.9484","16,967.0464","15,827.4083","15,969.0323",99810,+989.3618
11-Jul-2019,"15,966.7431","15,989.4609","17,520.8273","15,727.9713","16,920.9225",110016,-946.8880
10-Jul-2019,"16,913.6311","16,940.0747","19,004.6381","16,695.9333","17,900.5916",108455,-986.9605
09-Jul-2019,"17,900.5916","17,920.2685","18,447.1603","17,349.9135","17,490.1778",110096,+398.0393
08-Jul-2019,"17,502.5523","17,527.3027","17,641.9966","16,218.9638","16,426.1250",106674,"+1,702.1225"
05-Jul-2019,"15,800.4298","15,812.1937","16,721.3838","15,341.9778","16,678.8013",131448,-872.1215
04-Jul-2019,"16,672.5513","16,711.9675","17,134.0395","16,080.0967","16,187.8094",117476,+484.7419
03-Jul-2019,"16,187.8094","16,201.1241","16,539.9085","15,144.2459","15,292.5958",129496,+893.0274
02-Jul-2019,"15,294.7820","15,320.5033","15,644.2156","13,801.1581","15,031.4150",130513,+261.2094
01-Jul-2019,"15,033.5726","15,054.8026","16,246.9768","14,316.5471","15,893.9997",134713,"-2,352.2841"
28-Jun-2019,"17,385.8567","17,394.6866","17,656.0826","14,778.1424","15,223.9087",130779,"+2,161.9480"
27-Jun-2019,"15,223.9087","15,235.7306","19,094.5486","14,691.1995","18,212.4231",132934,"-2,988.4857"
26-Jun-2019,"18,212.3944","18,247.2863","19,830.0258","16,313.8733","16,323.4660",137223,"+1,893.6184"
25-Jun-2019,"16,318.7760","16,327.0010","16,448.4223","15,570.8441","15,582.4070",136721,+736.3690
24-Jun-2019,"15,582.4070","15,599.7845","16,227.9758","15,178.4522","15,646.3126",124429,"+1,237.4539"
21-Jun-2019,"14,344.9531","14,357.0995","14,376.3390","13,662.5902","13,802.8163",129527,+542.1368
20-Jun-2019,"13,802.8163","13,825.2239","13,867.3794","13,265.7467","13,314.5140",133357,+488.3023
19-Jun-2019,"13,314.5140","13,329.7050","13,397.7011","12,996.5838","13,262.5327",111986,+51.9813
18-Jun-2019,"13,262.5327","13,279.7557","13,821.3067","12,996.4774","13,521.9872",127191,-259.4545
17-Jun-2019,"13,521.9872","13,533.5231","13,752.1891","12,836.1467","13,170.3591",112280,"+1,227.9081"
14-Jun-2019,"12,294.0791","12,299.1851","12,324.4073","11,849.3484","11,942.0185",124119,+350.3336
13-Jun-2019,"11,943.7455","11,950.9475","11,993.6389","11,635.1836","11,717.4459",117839,+226.3429
12-Jun-2019,"11,717.4026","11,723.0370","11,895.3512","11,229.9483","11,390.9235",125072,+329.7501
11-Jun-2019,"11,387.6525","11,397.9885","11,567.9787","11,084.8089","11,411.3744",119150,-17.1702
10-Jun-2019,"11,404.8227","11,413.5306","11,603.2179","10,729.4244","10,958.8890",115463,+122.2798
07-Jun-2019,"11,282.5429","11,309.9886","11,615.2528","11,001.1461","11,007.3650",115532,+275.1779
06-Jun-2019,"11,007.3650","11,022.8608","11,298.8945","10,677.0233","11,090.2023",133315,-82.8373
05-Jun-2019,"11,090.2023","11,101.4206","11,371.0432","10,625.9328","10,935.1545",140609,+155.0478
04-Jun-2019,"10,935.1545","10,951.3591","12,267.3975","10,725.4787","12,253.9410",150367,"-1,318.7291"
03-Jun-2019,"12,253.8836","12,270.4989","12,643.0900","11,958.6460","12,513.1469",127179,+12.9071
31-May-2019,"12,240.9765","12,264.8746","12,288.4871","11,569.0528","12,230.6869",156273,+6.7511
30-May-2019,"12,234.2254","12,237.7804","13,162.0839","12,152.7778","12,495.1727",128737,-262.7535
29-May-2019,"12,496.9789","12,501.7059","12,669.7224","12,149.9351","12,539.8008",134320,-41.6959
28-May-2019,"12,538.6748","12,549.4077","12,795.0282","12,321.0329","12,645.7382",134739,-107.0634
27-May-2019,"12,645.7382","12,666.5317","12,902.3246","11,555.2499","11,572.2944",123608,+917.2183
24-May-2019,"11,728.5199","11,732.2548","11,840.4714","11,313.4272","11,410.1999",127157,+318.3200
23-May-2019,"11,410.1999","11,429.8739","11,421.9887","10,864.5767","11,370.2063",131551,+38.3812
22-May-2019,"11,371.8187","11,386.8750","11,780.9413","11,178.7623","11,743.6393",127894,-375.2324
21-May-2019,"11,747.0511","11,761.2233","11,790.9433","11,163.2979","11,578.5094",141071,+170.2171
20-May-2019,"11,576.8340","11,605.0536","12,032.4779","10,966.3388","11,523.9780",142370,"+1,240.9866"
17-May-2019,"10,335.8474","10,346.8181","11,544.2994","8,983.0142","11,141.1807",146158,-800.0824
16-May-2019,"11,135.9298","11,150.6094","12,122.1468","11,129.8681","11,783.5185",143880,-647.5887
15-May-2019,"11,783.5185","11,800.2310","11,927.3502","10,970.4680","11,102.8654",147270,+682.2516
14-May-2019,"11,101.2669","11,123.7574","11,988.7273","10,685.3585","11,320.3600",147269,-219.0787
13-May-2019,"11,320.3456","11,335.0569","11,488.5208","9,807.6769","10,088.3167",151551,"+2,338.9260"
10-May-2019,"8,981.4196","8,987.3571","9,180.7401","8,688.2151","8,698.3834",147601,+283.0362
09-May-2019,"8,698.3834","8,705.8243","8,731.2187","8,349.9857","8,438.6838",133139,+258.4921
08-May-2019,"8,439.8913","8,446.9090","8,454.1267","8,072.8504","8,333.1242",137664,+110.3303
07-May-2019,"8,329.5610","8,340.8786","8,528.5714","8,117.0836","8,142.9552",139518,+185.7618
06-May-2019,"8,143.7992","8,149.0485","8,293.8737","7,956.5727","8,177.0893",123467,+48.0697
03-May-2019,"8,095.7295","8,101.3527","8,284.3174","7,665.9091","7,718.5116",120590,+377.9320
02-May-2019,"7,717.7975","7,722.4143","7,743.2571","7,528.2661","7,560.3905",109150,+159.5615
01-May-2019,"7,558.2360","7,564.7654","7,612.7451","7,422.2175","7,427.6028",110550,+130.6332
30-Apr-2019,"7,427.6028","7,432.1510","7,509.6618","7,223.5969","7,264.8159",110962,+161.1439
29-Apr-2019,"7,266.4589","7,273.3522","7,357.1773","7,189.6513","7,337.5817",89951,+33.2392
26-Apr-2019,"7,233.2197","7,239.5511","7,840.0770","7,111.5702","7,830.5358",144603,-598.4320
25-Apr-2019,"7,831.6517","7,838.8279","7,858.1800","7,662.1560","7,746.8643",118446,+84.7874
24-Apr-2019,"7,746.8643","7,751.9601","7,987.8392","7,658.6315","7,856.0186",134920,-109.1543
23-Apr-2019,"7,856.0186","7,859.0621","7,917.7358","7,506.5294","7,517.1641",112720,+335.6934
22-Apr-2019,"7,520.3252","7,523.8609","7,623.8155","7,308.0179","7,319.2206",112683,+154.4368
19-Apr-2019,"7,365.8884","7,370.9172","7,490.7819","7,242.2340","7,421.4595",129719,-56.6088
18-Apr-2019,"7,422.4972","7,425.6643","7,449.6363","7,244.6023","7,269.8886",122976,+152.6086
17-Apr-2019,"7,269.8886","7,273.6695","7,354.6203","7,186.5582","7,225.3484",126637,+44.5402
16-Apr-2019,"7,225.3484","7,226.4808","7,291.9303","6,977.0624","6,997.5610",119054,+227.7874
15-Apr-2019,"6,997.5610","7,003.1089","7,239.6319","6,894.7735","7,120.0557",112615,-31.8786
12-Apr-2019,"7,029.4396","7,035.2392","7,135.9392","6,897.9076","7,091.4947",124853,-62.0551
11-Apr-2019,"7,091.4947","7,094.5248","7,455.9029","6,944.1029","7,390.2538",135852,-295.6691
10-Apr-2019,"7,387.1638","7,400.3487","7,621.1825","7,233.5953","7,327.3582",126973,+62.8899
09-Apr-2019,"7,324.2739","7,334.8357","7,464.2617","7,184.2356","7,366.6807",123802,-42.4068
08-Apr-2019,"7,366.6807","7,374.9930","7,529.5336","7,184.1728","7,208.9030",121038,+334.0745
05-Apr-2019,"7,032.6062","7,040.8163","7,133.2019","6,798.1034","6,818.4170",137805,+214.1892
04-Apr-2019,"6,818.4170","6,823.5269","7,512.2839","6,711.3764","7,448.5449",148638,-627.9629
03-Apr-2019,"7,446.3799","7,449.5922","7,478.0683","6,745.9200","6,788.2087",157423,+657.2113
02-Apr-2019,"6,789.1686","6,791.9943","7,166.4549","5,797.0762","5,800.7732",152468,+989.7872
01-Apr-2019,"5,799.3814","5,803.0797","5,830.6567","5,694.5600","5,744.0854",125233,+63.4186
29-Mar-2019,"5,735.9628","5,742.6276","5,785.3249","5,643.5150","5,668.5230",139602,+69.0418
28-Mar-2019,"5,666.9210","5,669.4841","5,700.1977","5,624.0141","5,656.2235",135834,+10.6975
27-Mar-2019,"5,656.2235","5,660.1214","5,690.0733","5,469.4495","5,481.0985",135435,+173.5886
26-Mar-2019,"5,482.6349","5,483.7819","5,526.0216","5,437.4439","5,469.1313",111558,+13.5036
25-Mar-2019,"5,469.1313","5,472.3386","5,621.9819","5,417.6984","5,594.6381",105960,-145.6605
22-Mar-2019,"5,614.7918","5,617.4668","5,646.8737","5,564.8630","5,584.5656",136733,+30.2262
21-Mar-2019,"5,584.5656","5,590.8004","5,686.9163","5,503.3698","5,632.0967",141105,-47.5311
20-Mar-2019,"5,632.0967","5,635.6430","5,677.5078","5,587.0295","5,632.9618",132086,+0.7242
19-Mar-2019,"5,631.3725","5,633.0888","5,657.1690","5,554.6721","5,586.7840",123465,+46.1607
18-Mar-2019,"5,585.2118","5,592.0023","5,668.2331","5,527.1871","5,596.6958",101029,+92.8119
15-Mar-2019,"5,492.3999","5,499.0546","5,515.9938","5,421.6068","5,449.5400",116981,+42.8599
14-Mar-2019,"5,449.5400","5,452.6331","5,532.0851","5,354.6241","5,426.1593",123071,+23.3807
13-Mar-2019,"5,426.1593","5,431.1575","5,487.5283","5,407.7010","5,455.8803",118751,-30.4914
12-Mar-2019,"5,456.6507","5,459.0678","5,481.1040","5,360.6759","5,439.0327",115014,+17.6180
