YYYYMM,USD,EUR,GBP,NZD,SGD,CAD,Cash Rate Target
201005,0.911852380952381,0.638752380952381,0.5641809523809523,0.7962428571428571,1.2731761904761905,0.9516571428571429,4.5
201006,0.887215,0.64846,0.567785,0.786395,1.25217,0.9366,4.5
201007,0.9123130434782609,0.6720608695652174,0.6057347826086957,0.7705739130434782,1.2764391304347826,0.9332521739130435,4.5
201008,0.9264318181818182,0.6899045454545454,0.603959090909091,0.7686590909090909,1.2798227272727272,0.9309499999999999,4.5
201009,0.8684666666666667,0.6926428571428571,0.5925142857142858,0.8014619047619048,1.210747619047619,0.9034904761904761,4.5
201010,0.8523090909090908,0.6978272727272727,0.577459090909091,0.8108227272727273,1.1907636363636362,0.8851772727272728,4.5
201011,0.8776272727272727,0.6854272727272727,0.5735045454545454,0.8124863636363636,1.2073545454545456,0.9146727272727273,4.75
201012,0.9001272727272728,0.6978772727272727,0.5749909090909091,0.7934454545454546,1.2197045454545454,0.9359000000000001,4.75
201102,0.9385363636363636,0.7169,0.6025227272727273,0.7757818181818181,1.2513727272727273,0.9691,4.75
201103,0.9817,0.7060238095238095,0.618952380952381,0.7652095238095239,1.2785333333333333,0.9983857142857143,4.75
201104,0.9887409090909091,0.7248636363636364,0.6196090909090909,0.7797772727272728,1.2837227272727274,1.0005363636363638,4.75
201105,0.9948826086956523,0.7521347826086956,0.6378,0.7558260869565218,1.298421739130435,1.0019,4.75
201106,0.9961428571428572,0.7450428571428571,0.6309619047619047,0.7688047619047619,1.2810619047619047,0.9897,4.75
201107,1.0087199999999998,0.738335,0.625115,0.75491,1.2868549999999999,0.9957050000000001,4.75
201108,1.0109521739130434,0.7210869565217392,0.6255260869565218,0.7329,1.2815304347826086,0.9863260869565218,4.75
201109,1.0598666666666667,0.7322619047619048,0.6467666666666667,0.7449142857142858,1.3199904761904762,1.0140238095238094,4.75
201110,1.067090909090909,0.7449318181818182,0.6530272727272727,0.746,1.3212272727272727,1.0325272727272727,4.75
201111,1.0606636363636364,0.7364818181818182,0.6539363636363636,0.7683636363636364,1.3089,1.0360090909090909,4.5
201112,1.0778904761904762,0.7540047619047618,0.6671047619047619,0.7854904761904762,1.3105666666666667,1.029442857142857,4.25
201202,1.0504478260869565,0.7324260869565218,0.6419826086956522,0.7973652173913044,1.2694260869565217,1.0307043478260869,4.25
201203,1.0213409090909091,0.7424636363636363,0.6473181818181818,0.7936590909090909,1.2787636363636363,1.0226954545454545,4.25
201204,1.0160238095238097,0.7399142857142857,0.6439619047619047,0.7783095238095238,1.295304761904762,1.0353428571428571,4.25
201205,1.0100681818181818,0.745040909090909,0.6391272727272728,0.7626954545454545,1.301490909090909,1.0350590909090909,3.75
201206,1.0116818181818181,0.7695,0.648959090909091,0.7602318181818183,1.3101363636363637,1.0353045454545453,3.5
201207,1.0409545454545455,0.8063318181818182,0.6706454545454545,0.7687727272727273,1.3305318181818182,1.0543863636363637,3.5
201208,1.0725666666666667,0.8102428571428572,0.6785619047619048,0.777295238095238,1.3443238095238095,1.0693380952380953,3.5
201209,1.0528954545454545,0.7968909090909091,0.6651272727272727,0.7783863636363637,1.325059090909091,1.0453545454545454,3.5
201210,1.0348904761904762,0.7860904761904761,0.6464809523809524,0.7902190476190476,1.2944666666666667,1.0267476190476192,3.25
201211,0.9964391304347826,0.7791217391304347,0.6262565217391305,0.7758391304347826,1.2582652173913045,1.0061391304347826,3.25
201212,0.9988285714285714,0.7958809523809524,0.6417952380952381,0.780904761904762,1.276142857142857,1.025352380952381,3.0
201302,1.0302909090909091,0.8382045454545455,0.6605136363636364,0.7749227272727274,1.2983727272727272,1.0437863636363636,3.0
201303,1.0465478260869565,0.8437652173913044,0.6658043478260869,0.7732826086956521,1.3060347826086958,1.0388260869565218,3.0
201304,1.03946,0.8073750000000001,0.64499,0.787285,1.2792350000000001,1.0169549999999998,3.0
201305,1.0289695652173914,0.7932565217391305,0.6401086956521739,0.7956434782608696,1.2594999999999998,1.0154347826086956,2.75
201306,1.0402363636363636,0.8102409090909091,0.6515409090909091,0.7868636363636363,1.2721090909090909,1.0369636363636363,2.75
201307,1.0457904761904762,0.7966857142857142,0.6477904761904762,0.7944238095238095,1.276142857142857,1.0352238095238095,2.75
201308,1.0498608695652174,0.7893130434782608,0.6571956521739131,0.7970608695652174,1.2890043478260869,1.0408347826086957,2.5
201309,1.030635,0.77272,0.6662600000000001,0.8130499999999999,1.276265,1.039995,2.5
201310,1.0347095238095239,0.7984666666666668,0.6858190476190477,0.8006380952380953,1.2890333333333335,1.0592285714285714,2.5
201311,1.037590909090909,0.7964545454545454,0.6776318181818182,0.8161090909090909,1.2842681818181818,1.056759090909091,2.5
201312,0.9896260869565218,0.7623304347826086,0.6471565217391305,0.8317347826086956,1.2356347826086955,1.0095521739130435,2.5
201402,0.9426399999999999,0.7140150000000001,0.608195,0.838165,1.18736,0.972105,2.5
