,Exchange Date,Bid
463,30-Jul-2020,"15,490.5212"
464,29-Jul-2020,"15,600.3477"
465,28-Jul-2020,"15,332.9096"
466,27-Jul-2020,"15,227.2689"
467,24-Jul-2020,"13,546.3411"
468,23-Jul-2020,"13,513.6357"
469,22-Jul-2020,"13,123.2675"
470,21-Jul-2020,"13,152.3569"
471,20-Jul-2020,"13,072.4163"
472,17-Jul-2020,"13,077.0286"
473,16-Jul-2020,"13,054.2091"
474,15-Jul-2020,"13,140.7191"
475,14-Jul-2020,"13,293.4346"
476,13-Jul-2020,"13,318.0640"
477,10-Jul-2020,"13,279.8590"
478,09-Jul-2020,"13,261.4645"
479,08-Jul-2020,"13,496.6781"
480,07-Jul-2020,"13,319.1566"
481,06-Jul-2020,"13,297.7921"
482,03-Jul-2020,"13,082.6400"
483,02-Jul-2020,"13,110.2253"
484,01-Jul-2020,"13,354.0408"
485,30-Jun-2020,"13,247.0307"
486,29-Jun-2020,"13,367.6668"
487,26-Jun-2020,"13,378.3863"
488,25-Jun-2020,"13,462.5091"
489,24-Jun-2020,"13,513.1295"
490,23-Jun-2020,"13,894.0990"
491,22-Jun-2020,"13,955.2178"
492,19-Jun-2020,"13,624.0199"
493,18-Jun-2020,"13,626.6744"
494,17-Jun-2020,"13,604.8504"
495,16-Jun-2020,"13,770.1871"
496,15-Jun-2020,"13,700.5202"
497,12-Jun-2020,"13,780.7020"
498,11-Jun-2020,"13,620.9160"
499,10-Jun-2020,"14,095.3851"
500,09-Jun-2020,"14,002.2985"
501,08-Jun-2020,"13,818.3450"
502,05-Jun-2020,"13,936.2841"
503,04-Jun-2020,"14,086.6503"
504,03-Jun-2020,"13,840.5952"
505,02-Jun-2020,"13,804.0458"
506,01-Jun-2020,"14,235.5199"
507,29-May-2020,"14,115.9868"
508,28-May-2020,"14,229.4968"
509,27-May-2020,"13,835.2461"
510,26-May-2020,"13,313.3774"
511,25-May-2020,"13,618.1027"
512,22-May-2020,"14,040.5691"
513,21-May-2020,"13,783.1252"
514,20-May-2020,"14,528.3376"
515,19-May-2020,"14,811.2267"
516,18-May-2020,"14,829.7057"
517,15-May-2020,"14,398.8934"
518,14-May-2020,"14,936.1287"
519,13-May-2020,"14,398.4201"
520,12-May-2020,"13,625.6066"
521,11-May-2020,"13,301.4944"
522,08-May-2020,"15,311.5909"
523,07-May-2020,"15,081.8839"
524,06-May-2020,"14,442.4399"
525,05-May-2020,"13,910.5689"
526,04-May-2020,"13,874.0199"
527,01-May-2020,"13,596.4803"
528,30-Apr-2020,"13,548.9251"
529,29-Apr-2020,"13,617.7063"
530,28-Apr-2020,"11,911.3062"
531,27-Apr-2020,"11,917.5379"
532,24-Apr-2020,"11,785.3811"
533,23-Apr-2020,"11,829.1634"
534,22-Apr-2020,"11,252.7747"
535,21-Apr-2020,"10,968.3063"
536,20-Apr-2020,"10,830.9404"
537,17-Apr-2020,"11,083.6135"
