Exchange Date,Bid,Ask,High,Low,Open,Refresh Rate,BidNet
13/02/2012,8.3225,8.3287,8.3572,8.2774,8.2930,106323,+0.0548
10/02/2012,8.2677,8.2700,8.3694,8.2496,8.3616,108765,-0.0956
9/02/2012,8.3633,8.3673,8.3944,8.3235,8.3735,121457,-0.0037
8/02/2012,8.3670,8.3716,8.4082,8.3457,8.3775,115415,-0.0096
7/02/2012,8.3766,8.3790,8.3918,8.2942,8.3144,112250,+0.0613
6/02/2012,8.3153,8.3200,8.3503,8.2810,8.3392,87797,-0.0347
3/02/2012,8.3500,8.3528,8.3689,8.2724,8.3048,101023,+0.0436
2/02/2012,8.3064,8.3104,8.3411,8.2785,8.3016,109190,+0.0080
1/02/2012,8.2984,8.3009,8.3280,8.1933,8.2307,112215,+0.0683
31/01/2012,8.2301,8.2332,8.2852,8.2000,8.2123,115727,+0.0131
30/01/2012,8.2170,8.2196,8.2600,8.1621,8.2458,110637,-0.0435
27/01/2012,8.2605,8.2657,8.2767,8.2146,8.2426,104229,+0.0252
26/01/2012,8.2353,8.2395,8.2909,8.2111,8.2216,102844,+0.0137
25/01/2012,8.2216,8.2235,8.2392,8.0995,8.1371,107022,+0.0938
24/01/2012,8.1278,8.1356,8.1761,8.0898,8.1726,101355,-0.0454
23/01/2012,8.1732,8.1756,8.2051,8.1121,8.1260,90595,+0.0356
20/01/2012,8.1376,8.1400,8.1386,8.0565,8.0853,95127,+0.0531
19/01/2012,8.0845,8.0877,8.0993,8.0477,8.0916,105388,-0.0087
18/01/2012,8.0932,8.1012,8.0979,8.0374,8.0570,92953,+0.0347
17/01/2012,8.0585,8.0598,8.1146,7.9992,8.0052,89163,+0.0557
16/01/2012,8.0028,8.0100,8.0299,7.9604,7.9944,69291,-0.0104
13/01/2012,8.0132,8.0162,8.0524,7.9456,8.0248,85232,-0.0163
12/01/2012,8.0295,8.0325,8.0607,7.9863,8.0062,86116,+0.0232
11/01/2012,8.0063,8.0110,8.0227,7.9678,8.0076,87948,-0.0021
10/01/2012,8.0084,8.0140,8.0402,7.9389,7.9500,93437,+0.0607
9/01/2012,7.9477,7.9525,7.9637,7.8758,7.9212,83454,+0.0075
6/01/2012,7.9402,7.9433,7.9764,7.9187,7.9665,85432,-0.0194
5/01/2012,7.9596,7.9620,8.0575,7.9435,8.0523,93269,-0.0902
4/01/2012,8.0498,8.0573,8.0631,8.0013,8.0567,86647,-0.0022
3/01/2012,8.0520,8.0593,8.0671,7.9423,7.9447,75389,+0.1073
2/01/2012,7.9447,7.9480,7.9501,7.9153,7.9346,19647,+0.0070
30/12/2011,7.9377,7.9411,7.9737,7.8655,7.8747,73042,+0.0570
29/12/2011,7.8807,7.8841,7.8839,7.8059,7.8459,82582,+0.0393
28/12/2011,7.8414,7.8452,7.9344,7.8251,7.8930,73023,-0.0552
27/12/2011,7.8966,7.9015,7.9152,7.8828,7.9072,44992,-0.0075
26/12/2011,7.9041,7.9105,7.9134,7.8763,7.8974,9364,+0.0165
23/12/2011,7.8876,7.8944,7.9207,7.8749,7.8827,62989,+0.0078
22/12/2011,7.8798,7.8901,7.8969,7.8244,7.8514,88970,+0.0307
21/12/2011,7.8491,7.8523,7.9500,7.8184,7.8419,96816,+0.0042
20/12/2011,7.8449,7.8477,7.8550,7.6979,7.7002,91029,+0.1453
19/12/2011,7.6996,7.7019,7.7766,7.6899,7.7758,80846,-0.0606
16/12/2011,7.7602,7.7632,7.8022,7.7135,7.7175,92456,+0.0469
15/12/2011,7.7133,7.7184,7.7721,7.6728,7.7096,94122,+0.0054
14/12/2011,7.7079,7.7153,7.8169,7.6900,7.7881,101362,-0.0812
13/12/2011,7.7891,7.7953,7.9040,7.7597,7.8346,103670,-0.0500
12/12/2011,7.8391,7.8427,7.9468,7.8196,7.9414,91998,-0.1054
9/12/2011,7.9445,7.9501,7.9561,7.8156,7.9061,109810,+0.0427
8/12/2011,7.9018,7.9117,8.0681,7.8857,7.9974,109604,-0.0923
7/12/2011,7.9941,7.9993,8.0082,7.9471,7.9625,106870,+0.0364
6/12/2011,7.9577,7.9611,7.9807,7.8931,7.9733,112429,-0.0198
5/12/2011,7.9775,7.9820,8.0057,7.9228,7.9710,98012,+0.0453
2/12/2011,7.9322,7.9355,8.0191,7.9223,7.9549,118189,-0.0129
1/12/2011,7.9451,7.9528,7.9916,7.8894,7.9836,126175,-0.0361
30/11/2011,7.9812,7.9828,8.0395,7.7403,7.7890,123903,+0.1766
29/11/2011,7.8046,7.8107,7.8521,7.6850,7.7122,124212,+0.0938
28/11/2011,7.7108,7.7173,7.7750,7.6291,7.6522,98523,+0.1490
25/11/2011,7.5618,7.5670,7.6182,7.5335,7.5767,100949,-0.0204
24/11/2011,7.5822,7.5839,7.6263,7.5426,7.5495,101419,+0.0362
23/11/2011,7.5460,7.5500,7.6786,7.5293,7.6593,126176,-0.1177
22/11/2011,7.6637,7.6670,7.7108,7.6420,7.6624,122366,-0.0043
21/11/2011,7.6680,7.6727,7.7989,7.6369,7.7763,105174,-0.1216
18/11/2011,7.7896,7.7942,7.8699,7.7559,7.7864,112609,+0.0110
17/11/2011,7.7786,7.7833,7.8755,7.7607,7.8445,109397,-0.0654
16/11/2011,7.8440,7.8528,7.9259,7.8283,7.9187,105281,-0.0805
15/11/2011,7.9245,7.9279,7.9579,7.8667,7.9418,97027,-0.0130
14/11/2011,7.9375,7.9412,8.0498,7.9034,8.0343,82122,-0.0614
11/11/2011,7.9989,8.0024,8.0150,7.8584,7.8939,89282,+0.1024
10/11/2011,7.8965,7.9009,7.9445,7.8163,7.8854,121503,+0.0054
9/11/2011,7.8911,7.8961,8.0775,7.8760,8.0713,117973,-0.1787
8/11/2011,8.0698,8.0744,8.0828,7.9853,8.0590,118512,+0.0151
7/11/2011,8.0547,8.0604,8.0979,7.9798,8.0886,94233,-0.0020
4/11/2011,8.0567,8.0616,8.1085,8.0101,8.0767,108068,-0.0231
3/11/2011,8.0798,8.0874,8.1154,7.9240,8.0327,118698,+0.0486
2/11/2011,8.0312,8.0385,8.1007,7.9855,8.0260,118909,+0.0032
1/11/2011,8.0280,8.0307,8.2075,7.9801,8.1881,118651,-0.1566
31/10/2011,8.1846,8.1892,8.3149,8.1581,8.3141,102611,-0.1204
28/10/2011,8.3050,8.3120,8.3308,8.2726,8.3168,103479,-0.0230
27/10/2011,8.3280,8.3324,8.3516,8.0682,8.0713,104670,+0.2453
26/10/2011,8.0827,8.0870,8.1139,8.0213,8.1054,97433,-0.0221
25/10/2011,8.1048,8.1080,8.1609,8.0819,8.1400,100349,-0.0373
24/10/2011,8.1421,8.1447,8.1660,8.0224,8.0339,88250,+0.0747
21/10/2011,8.0674,8.0753,8.0752,7.9339,7.9549,95293,+0.1098
20/10/2011,7.9576,7.9635,8.0113,7.8922,7.9552,100414,+0.0048
19/10/2011,7.9528,7.9585,8.0508,7.9324,7.9791,90569,-0.0241
18/10/2011,7.9769,7.9793,8.0310,7.8643,7.8995,95906,+0.0807
17/10/2011,7.8962,7.9014,8.0640,7.8906,8.0305,78310,-0.1469
14/10/2011,8.0431,8.0478,8.0454,7.8882,7.9205,95262,+0.1225
13/10/2011,7.9206,7.9227,7.9579,7.8550,7.8786,102746,+0.0251
12/10/2011,7.8955,7.8987,7.9386,7.6763,7.7518,93568,+0.1509
11/10/2011,7.7446,7.7473,7.7825,7.7048,7.7778,91941,-0.0252
10/10/2011,7.7698,7.7750,7.7915,7.5867,7.5927,75479,+0.1680
7/10/2011,7.6018,7.6065,7.6870,7.5657,7.5758,104043,+0.0324
6/10/2011,7.5694,7.5732,7.5999,7.4856,7.5202,112919,+0.0535
5/10/2011,7.5159,7.5211,7.5256,7.3820,7.4393,102009,+0.0519
4/10/2011,7.4640,7.4671,7.4698,7.3065,7.4185,114412,+0.0533
3/10/2011,7.4107,7.4134,7.5538,7.4021,7.5272,92300,-0.1072
30/09/2011,7.5179,7.5274,7.6434,7.5155,7.6125,105427,-0.0938
29/09/2011,7.6117,7.6211,7.6976,7.5589,7.6064,111914,+0.0054
28/09/2011,7.6063,7.6105,7.7584,7.6031,7.7262,100209,-0.1153
27/09/2011,7.7216,7.7242,7.7847,7.6194,7.6610,92091,+0.0491
26/09/2011,7.6725,7.6772,7.6778,7.4973,7.6276,76738,+0.0432
